Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,floor_number,total_floor,Area Locality Encoded
2022-05-18,1,10000,1100,Ground out of 2,2,Bandel,4,2,1,2,2,0.0,2.0,221
2022-05-13,1,20000,800,1 out of 3,2,"Phool Bagan, Kankurgachi",4,1,1,1,2,1.0,3.0,1527
2022-05-16,1,17000,1000,1 out of 3,2,Salt Lake City Sector 2,4,1,1,1,2,1.0,3.0,1760
2022-07-04,1,10000,800,1 out of 2,2,Dumdum Park,4,2,1,1,2,1.0,2.0,526
2022-05-09,1,7500,850,1 out of 2,1,South Dum Dum,4,2,0,1,2,1.0,2.0,1890
2022-04-29,1,7000,600,Ground out of 1,2,Thakurpukur,4,2,1,2,2,0.0,1.0,1975
2022-06-21,1,10000,700,Ground out of 4,2,Malancha,4,2,0,2,0,0.0,4.0,1184
2022-06-21,0,5000,250,1 out of 2,2,Malancha,4,2,0,1,0,1.0,2.0,1184
2022-06-07,1,26000,800,1 out of 2,1,"Palm Avenue Kolkata, Ballygunge",4,2,0,2,0,1.0,2.0,1476
2022-06-20,1,10000,1000,1 out of 3,1,Natunhat,4,1,1,2,2,1.0,3.0,1358
2022-05-23,2,25000,1200,1 out of 4,1,"Action Area 1, Rajarhat Newtown",4,1,1,2,0,1.0,4.0,29
2022-06-07,0,5000,400,1 out of 1,1,Keshtopur,4,2,1,1,0,1.0,1.0,991
2022-05-14,0,6500,250,1 out of 4,1,"Tarulia, Keshtopur",4,0,0,1,2,1.0,4.0,1965
2022-05-09,0,5500,375,1 out of 2,1,Dum Dum Metro,4,2,1,1,0,1.0,2.0,525
2022-05-05,2,8500,900,Ground out of 2,1,Paschim Barisha,4,2,0,2,2,0.0,2.0,1501
2022-06-01,2,40000,1286,1 out of 1,1,New Town Action Area 1,4,0,1,2,2,1.0,1.0,1401
2022-05-17,1,6000,600,1 out of 2,2,Barasat,4,1,1,1,2,1.0,2.0,237
2022-06-20,1,10000,800,Ground out of 2,2,Behala,4,2,1,1,2,0.0,2.0,260
2022-06-09,1,11000,2000,Ground out of 3,1,Behala Chowrasta,4,2,1,1,2,0.0,3.0,261
2022-06-09,1,6000,660,1 out of 2,2,Behala,4,2,1,1,2,1.0,2.0,260
2022-07-02,1,7900,650,1 out of 2,1,Santoshpur,4,2,2,1,2,1.0,2.0,1780
2022-06-14,1,9000,400,2 out of 3,1,"Garia Station, Garia",4,2,0,2,2,2.0,3.0,613
2022-06-15,0,4000,300,Ground out of 4,1,"Garia Station, Garia",4,2,1,1,2,0.0,4.0,613
2022-06-15,2,6500,1600,Ground out of 2,2,Joka,4,2,1,1,2,0.0,2.0,860
2022-05-28,0,8000,400,1 out of 2,2,Sreebhumi,4,1,0,1,0,1.0,2.0,1893
2022-05-22,1,7000,1000,1 out of 1,2,Rajarhat,4,2,1,1,2,1.0,1.0,1631
2022-06-18,0,5300,355,1 out of 1,1,Dum Dum,4,1,1,1,0,1.0,1.0,522
2022-06-25,1,6000,1000,Ground out of 3,2,"Kodalia, Hooghly-Chinsurah",4,1,1,1,2,0.0,3.0,1010
2022-06-22,1,8500,800,4 out of 5,2,Baguiati,4,2,1,1,2,4.0,5.0,197
2022-06-25,1,12500,850,Ground out of 2,2,"Rabindra Sarobar Area, Dhakuria",4,2,1,2,2,0.0,2.0,1599
2022-05-21,0,7500,350,Ground out of 2,1,Baghajatin,4,2,1,1,2,0.0,2.0,196
2022-06-26,1,15000,900,Ground out of 2,1,"Project Kaikhali, Vip Road",4,2,1,2,2,0.0,2.0,1566
2022-06-16,1,6000,550,1 out of 1,2,Vip Road,4,1,1,1,2,1.0,1.0,2114
2022-06-29,1,5000,500,Ground out of 2,1,Baruipur,4,2,1,2,2,0.0,2.0,240
